threads	size	speedup	efficiency	median
1	16	1.00	1.00	0.00016
2	16	0.17	0.08	0.000962
3	16	0.11	0.04	0.001456
4	16	0.10	0.02	0.001622
5	16	0.10	0.02	0.001535
6	16	0.10	0.02	0.001602
7	16	0.15	0.02	0.001086
8	16	0.18	0.02	0.000889
10	16	0.13	0.01	0.001191
16	16	0.17	0.01	0.00095
32	16	0.07	0.00	0.002362
64	16	0.05	0.00	0.003498
1	32	1.00	1.00	0.000188
2	32	0.12	0.06	0.00161
3	32	0.06	0.02	0.003328
4	32	0.05	0.01	0.003932
5	32	0.04	0.01	0.004723
6	32	0.06	0.01	0.003276
7	32	0.06	0.01	0.003103
8	32	0.04	0.01	0.00429
10	32	0.04	0.00	0.004347
16	32	0.06	0.00	0.003386
32	32	0.06	0.00	0.002993
64	32	0.04	0.00	0.004507
1	64	1.00	1.00	0.000471
2	64	0.38	0.19	0.001246
3	64	0.10	0.03	0.004857
4	64	0.09	0.02	0.00504
5	64	0.04	0.01	0.010516
6	64	0.05	0.01	0.008638
7	64	0.08	0.01	0.006109
8	64	0.06	0.01	0.00827
10	64	0.06	0.01	0.007701
16	64	0.06	0.00	0.007453
32	64	0.05	0.00	0.009656
64	64	0.09	0.00	0.005065
1	128	1.00	1.00	0.002322
2	128	1.14	0.57	0.002035
3	128	0.51	0.17	0.00458
4	128	0.28	0.07	0.008405
5	128	0.31	0.06	0.007492
6	128	0.15	0.02	0.015959
7	128	0.25	0.04	0.009177
8	128	0.26	0.03	0.009022
10	128	0.15	0.01	0.015879
16	128	0.14	0.01	0.016729
32	128	0.08	0.00	0.02926
64	128	0.10	0.00	0.022755
1	256	1.00	1.00	0.019265
2	256	1.11	0.55	0.017425
3	256	1.59	0.53	0.012139
4	256	1.76	0.44	0.010934
5	256	1.65	0.33	0.011659
6	256	1.17	0.20	0.01643
7	256	0.66	0.09	0.029186
8	256	0.89	0.11	0.021622
10	256	0.84	0.08	0.022957
16	256	0.44	0.03	0.044048
32	256	0.28	0.01	0.068362
64	256	0.16	0.00	0.117403
1	512	1.00	1.00	0.143961
2	512	1.92	0.96	0.075065
3	512	1.81	0.60	0.079461
4	512	3.03	0.76	0.047572
5	512	2.73	0.55	0.052763
6	512	5.13	0.85	0.028078
7	512	3.23	0.46	0.044531
8	512	2.56	0.32	0.056227
10	512	3.06	0.31	0.047107
16	512	1.70	0.11	0.08475
32	512	0.98	0.03	0.146347
64	512	0.44	0.01	0.328276
1	1000	1.00	1.00	1.02276
2	1000	1.26	0.63	0.809454
3	1000	2.26	0.75	0.45348
4	1000	2.90	0.73	0.352272
5	1000	3.03	0.61	0.337667
6	1000	2.50	0.42	0.409379
7	1000	3.34	0.48	0.30612
8	1000	2.65	0.33	0.386454
10	1000	4.19	0.42	0.243904
16	1000	3.61	0.23	0.283536
32	1000	2.10	0.07	0.48661
64	1000	0.98	0.02	1.047687
1	1024	1.00	1.00	1.615801
2	1024	2.53	1.26	0.63953
3	1024	3.37	1.12	0.479904
4	1024	2.24	0.56	0.722628
5	1024	4.75	0.95	0.340413
6	1024	4.65	0.78	0.347226
7	1024	4.22	0.60	0.382548
8	1024	5.21	0.65	0.309925
10	1024	5.84	0.58	0.276585
16	1024	5.24	0.33	0.308123
32	1024	2.53	0.08	0.637475
64	1024	2.22	0.03	0.727188
1	2000	1.00	1.00	8.068276
2	2000	1.66	0.83	4.849681
3	2000	2.18	0.73	3.705729
4	2000	2.85	0.71	2.834388
5	2000	2.86	0.57	2.818229
6	2000	1.94	0.32	4.157586
7	2000	2.22	0.32	3.631541
8	2000	2.23	0.28	3.620344
10	2000	3.59	0.36	2.250414
16	2000	3.83	0.24	2.109231
32	2000	3.60	0.11	2.241935
64	2000	2.86	0.04	2.818622
1	2048	1.00	1.00	8.513269
2	2048	1.62	0.81	5.257211
3	2048	2.33	0.78	3.646933
4	2048	2.68	0.67	3.181129
5	2048	2.69	0.54	3.162111
6	2048	3.06	0.51	2.778931
7	2048	3.17	0.45	2.684944
8	2048	2.51	0.31	3.391809
10	2048	3.08	0.31	2.766616
16	2048	4.04	0.25	2.108462
32	2048	3.57	0.11	2.387289
64	2048	1.53	0.02	5.550736
1	3000	1.00	1.00	26.924915
2	3000	1.67	0.84	16.115324
3	3000	2.28	0.76	11.832877
4	3000	2.72	0.68	9.89402
5	3000	3.09	0.62	8.725924
6	3000	3.02	0.50	8.902919
7	3000	3.28	0.47	8.199733
8	3000	3.40	0.42	7.919727
10	3000	3.98	0.40	6.758687
16	3000	3.73	0.23	7.222637
32	3000	3.86	0.12	6.982521
64	3000	3.46	0.05	7.78355
1	4000	1.00	1.00	64.73674
2	4000	1.63	0.81	39.796963
3	4000	2.02	0.67	31.996446
4	4000	2.69	0.67	24.07957
5	4000	2.93	0.59	22.061285
6	4000	2.93	0.49	22.078518
7	4000	3.20	0.46	20.209654
8	4000	2.28	0.29	28.380774
10	4000	4.02	0.40	16.091107
16	4000	4.10	0.26	15.799542
32	4000	4.24	0.13	15.255759
64	4000	3.98	0.06	16.255345
1	4096	1.00	1.00	96.484913
2	4096	2.31	1.15	41.814493
3	4096	2.90	0.97	33.301312
4	4096	3.44	0.86	28.075018
5	4096	4.05	0.81	23.849313
6	4096	4.30	0.72	22.445975
7	4096	4.30	0.61	22.462425
8	4096	3.18	0.40	30.386495
10	4096	4.94	0.49	19.513726
16	4096	3.48	0.22	27.693508
32	4096	5.37	0.17	17.963771
64	4096	4.64	0.07	20.789067
